cell
6.3779997825622559            5.5233478546142578            51.860000610351563     
frac
N203         0.500000         0.000000         0.461797    1 1 1
Ga2          0.000000         0.666667         0.450000    1 1 1
N203         0.250000         0.500000         0.461797    1 1 1
Ga2          0.500000         0.666667         0.450000    1 1 1
N201         0.750000         0.500000         0.461797    1 1 1
Ga1          0.000000         0.000000         0.500000    1 1 1
N101         0.250000         0.166667         0.511797    1 1 1
Ga1          0.500000         0.000000         0.500000    1 1 1
N101         0.750000         0.166667         0.511797    1 1 1
Ga1          0.250000         0.500000         0.500000    1 1 1
N101         0.000000         0.666667         0.511797    1 1 1
Ga1          0.750000         0.500000         0.500000    1 1 1
N101         0.500000         0.666667         0.511797    1 1 1
Ga2          0.250000         0.166667         0.550000    1 1 1
N201         0.000000         0.000000         0.561797    1 1 1
Ga2          0.750000         0.166667         0.550000    1 1 1
N201         0.500000         0.000000         0.561797    1 1 1
Ga2          0.000000         0.666667         0.550000    1 1 1
N201         0.250000         0.500000         0.561797    1 1 1
Ga2          0.500000         0.666667         0.550000    1 1 1
N201         0.750000         0.500000         0.561797    1 1 1
Ga1          0.000000         0.000000         0.600000    1 1 1
N101         0.250000         0.166667         0.611797    1 1 1
Ga1          0.500000         0.000000         0.600000    1 1 1
N101         0.750000         0.166667         0.611797    1 1 1
Ga1          0.250000         0.500000         0.600000    1 1 1
N101         0.000000         0.666667         0.611797    1 1 1
Ga1          0.750000         0.500000         0.600000    1 1 1
N101         0.500000         0.666667         0.611797    1 1 1
Ga2          0.250000         0.166667         0.650000    1 1 1
N201         0.000000         0.000000         0.661797    1 1 1
Ga2          0.750000         0.166667         0.650000    1 1 1
N201         0.500000         0.000000         0.661797    1 1 1
Ga2          0.000000         0.666667         0.650000    1 1 1
N201         0.250000         0.500000         0.661797    1 1 1
Ga2          0.500000         0.666667         0.650000    1 1 1
N201         0.750000         0.500000         0.661797    1 1 1
Ga1          0.000000         0.000000         0.700000    1 1 1
N101         0.250000         0.166667         0.711797    1 1 1
Ga1          0.500000         0.000000         0.700000    1 1 1
N101         0.750000         0.166667         0.711797    1 1 1
Ga1          0.250000         0.500000         0.700000    1 1 1
N101         0.000000         0.666667         0.711797    1 1 1
