Ga         0.000000         0.666667         0.550000
N          0.250000         0.500000         0.561797
In         0.500000         0.666667         0.550000
N          0.750000         0.500000         0.561797
In         0.000000         0.000000         0.600000
N          0.250000         0.166667         0.611797
In         0.500000         0.000000         0.600000
N          0.750000         0.166667         0.611797
In         0.250000         0.500000         0.600000
N          0.000000         0.666667         0.611797
In         0.750000         0.500000         0.600000
N          0.500000         0.666667         0.611797
Ga         0.250000         0.166667         0.650000
N          0.000000         0.000000         0.661797
In         0.750000         0.166667         0.650000
N          0.500000         0.000000         0.661797
In         0.000000         0.666667         0.650000
N          0.250000         0.500000         0.661797
Ga         0.500000         0.666667         0.650000
N          0.750000         0.500000         0.661797
In         0.000000         0.000000         0.700000
N          0.250000         0.166667         0.711797
In         0.500000         0.000000         0.700000
N          0.750000         0.166667         0.711797
Ga         0.250000         0.500000         0.700000
N          0.000000         0.666667         0.711797
Ga         0.750000         0.500000         0.700000
N          0.500000         0.666667         0.711797
Ga         0.250000         0.166667         0.750000
N          0.000000         0.000000         0.761797
In         0.750000         0.166667         0.750000
N          0.500000         0.000000         0.761797
Ga         0.000000         0.666667         0.750000
N          0.250000         0.500000         0.761797
Ga         0.500000         0.666667         0.750000
N          0.750000         0.500000         0.761797
Ga         0.000000         0.000000         0.800000
N          0.250000         0.166667         0.811797
Ga         0.500000         0.000000         0.800000
N          0.750000         0.166667         0.811797
Ga         0.250000         0.500000         0.800000
N          0.000000         0.666667         0.811797
In         0.750000         0.500000         0.800000
N          0.500000         0.666667         0.811797
In         0.250000         0.166667         0.850000
N          0.000000         0.000000         0.861797
Ga         0.750000         0.166667         0.850000
N          0.500000         0.000000         0.861797
Ga         0.000000         0.666667         0.850000
N          0.250000         0.500000         0.861797
Ga         0.500000         0.666667         0.850000
N          0.750000         0.500000         0.861797
Ga         0.000000         0.000000         0.900000
N          0.250000         0.166667         0.911797
In         0.500000         0.000000         0.900000
N          0.750000         0.166667         0.911797
Ga         0.250000         0.500000         0.900000
N          0.000000         0.666667         0.911797
In         0.750000         0.500000         0.900000
N          0.500000         0.666667         0.911797
In         0.250000         0.166667         0.950000
N          0.000000         0.000000         0.961797
In         0.750000         0.166667         0.950000
N          0.500000         0.000000         0.961797
Ga         0.000000         0.666667         0.950000
N          0.250000         0.500000         0.961797
In         0.500000         0.666667         0.950000
N          0.750000         0.500000         0.961797
