     107       Ga2	  c	 0.750000	0.166595	0.650594	0.00
     108      N201	  c	 0.499986	0.000035	0.662903	0.00
     109       Ga2	  c	 0.000090	0.666734	0.650595	0.00
     110      N201	  c	 0.250000	0.500031	0.662908	0.00
     111       Ga2	  c	 0.499910	0.666734	0.650595	0.00
     112      N201	  c	 0.750000	0.500033	0.662884	0.00
     113       Ga1	  c	 0.000001	0.000029	0.700513	0.00
     114      N101	  c	 0.250000	0.166686	0.712817	0.00
     115       Ga1	  c	 0.499999	0.000029	0.700513	0.00
     116      N101	  c	 0.750000	0.166708	0.712813	0.00
     117       Ga1	  c	 0.250000	0.500028	0.700516	0.00
     118      N101	  c	 0.999985	0.666687	0.712814	0.00
     119       Ga1	  c	 0.750000	0.500030	0.700502	0.00
     120      N101	  c	 0.500015	0.666687	0.712814	0.00
     121       Ga2	  c	 0.250000	0.166684	0.750428	0.00
     122      N201	  c	 0.999995	0.000022	0.762729	0.00
     123       Ga2	  c	 0.750000	0.166695	0.750425	0.00
     124      N201	  c	 0.500005	0.000022	0.762729	0.00
     125       Ga2	  c	 0.999993	0.666685	0.750426	0.00
     126      N201	  c	 0.250000	0.500028	0.762729	0.00
     127       Ga2	  c	 0.500007	0.666685	0.750426	0.00
     128      N201	  c	 0.750000	0.500022	0.762730	0.00
     129       Ga1	  c	 0.999998	0.000019	0.800341	0.00
     130      N101	  c	 0.250000	0.166682	0.812643	0.00
     131       Ga1	  c	 0.500002	0.000019	0.800341	0.00
     132      N101	  c	 0.750000	0.166682	0.812644	0.00
     133       Ga1	  c	 0.250000	0.500021	0.800341	0.00
     134      N101	  c	 0.000000	0.666682	0.812644	0.00
     135       Ga1	  c	 0.750000	0.500018	0.800341	0.00
     136      N101	  c	 0.500000	0.666682	0.812644	0.00
     137       Ga2	  c	 0.250000	0.166678	0.850255	0.00
     138      N201	  c	 0.000000	0.000014	0.862559	0.00
     139       Ga2	  c	 0.750000	0.166678	0.850256	0.00
     140      N201	  c	 0.500000	0.000014	0.862559	0.00
     141       Ga2	  c	 0.000000	0.666678	0.850256	0.00
     142      N201	  c	 0.250000	0.500014	0.862559	0.00
     143       Ga2	  c	 0.500000	0.666678	0.850256	0.00
     144      N201	  c	 0.750000	0.500014	0.862559	0.00
     145       Ga1	  c	 0.000000	0.000010	0.900170	0.00
     146      N101	  c	 0.250000	0.166672	0.912473	0.00
     147       Ga1	  c	 0.500000	0.000010	0.900170	0.00
     148      N101	  c	 0.750000	0.166672	0.912473	0.00
     149       Ga1	  c	 0.250000	0.500009	0.900170	0.00
     150      N101	  c	 0.000000	0.666672	0.912473	0.00
     151       Ga1	  c	 0.750000	0.500010	0.900170	0.00
     152      N101	  c	 0.500000	0.666672	0.912473	0.00
     153       Ga2	  c	 0.250000	0.166668	0.950085	0.00
     154      N201	  c	 1.000000	0.000004	0.962388	0.00
     155       Ga2	  c	 0.750000	0.166668	0.950085	0.00
     156      N201	  c	 0.500000	0.000004	0.962388	0.00
     157       Ga2	  c	 1.000000	0.666668	0.950085	0.00
     158      N201	  c	 0.250000	0.500004	0.962388	0.00
     159       Ga2	  c	 0.500000	0.666668	0.950085	0.00
     160      N201	  c	 0.750000	0.500004	0.962388	0.00


  Final cell parameters and derivatives :



--------------------------------------------------------------------------------
a=          6.377999783
b=          5.523347855
c=         51.943967096
